AssignmentID,WorkerID,DriverID,WorkplaceID,ShiftID,Status
A00001,W0597,D037,WP011,S0001,Absent
A00002,W0430,D037,WP011,S0001,Assigned
A00003,W0675,D037,WP011,S0001,Assigned
A00004,W0694,D037,WP011,S0001,Assigned
A00005,W0740,D037,WP011,S0001,Absent
A00006,W0076,D037,WP011,S0001,Assigned
A00007,W0597,D006,WP013,S0002,Assigned
A00008,W0398,D006,WP013,S0002,Assigned
A00009,W0311,D006,WP013,S0002,Assigned
A00010,W0130,D006,WP013,S0002,Assigned
A00011,W0457,D006,WP013,S0002,Assigned
A00012,W0140,D006,WP013,S0002,Assigned
A00013,W0169,D006,WP013,S0002,Assigned
A00014,W0456,D006,WP013,S0002,Assigned
A00015,W0432,D006,WP013,S0002,Assigned
A00016,W0096,D006,WP013,S0002,Assigned
A00017,W0253,D006,WP013,S0002,Assigned
A00018,W0110,D006,WP013,S0002,Assigned
A00019,W0582,D006,WP013,S0002,Assigned
A00020,W0745,D006,WP013,S0002,Assigned
A00021,W0147,D006,WP013,S0002,Assigned
A00022,W0504,D035,WP011,S0003,Assigned
A00023,W0603,D035,WP011,S0003,Assigned
A00024,W0230,D035,WP011,S0003,Absent
A00025,W0013,D035,WP011,S0003,Assigned
A00026,W0715,D035,WP011,S0003,Assigned
A00027,W0295,D035,WP011,S0003,Assigned
A00028,W0642,D035,WP011,S0003,Assigned
A00029,W0301,D035,WP011,S0003,Assigned
A00030,W0525,D035,WP011,S0003,Assigned
A00031,W0532,D024,WP010,S0004,Assigned
A00032,W0233,D024,WP010,S0004,Assigned
A00033,W0093,D024,WP010,S0004,Assigned
A00034,W0586,D024,WP010,S0004,Assigned
A00035,W0616,D024,WP010,S0004,Assigned
A00036,W0598,D024,WP010,S0004,Assigned
A00037,W0148,D024,WP010,S0004,Assigned
A00038,W0721,D024,WP010,S0004,Assigned
A00039,W0163,D024,WP010,S0004,Assigned
A00040,W0515,D024,WP010,S0004,Assigned
A00041,W0692,D024,WP010,S0004,Assigned
A00042,W0597,D024,WP010,S0004,Assigned
A00043,W0055,D024,WP010,S0004,Assigned
A00044,W0719,D024,WP010,S0004,Assigned
A00045,W0365,D044,WP006,S0005,Assigned
A00046,W0672,D044,WP006,S0005,Assigned
